Tiefe [m u. GOK];lambda [W/(m·K)];kappa [10^-6 m²/s];cv [MJ/(m³·K)];rho_s [g/cm³];rho_d [g/cm³];phi [%];K [m²];kf [m/s]
10;2,71;1,7;1,6;2,63;2,23;15,42;0,0000000000000036;0,000000036
16;2,48;1,24;2,01;2,71;2,57;4,85;0,0000000000000059;0,000000059
25;1,68;1,07;1,58;2,7;2,3;14,84;0,000000000000001;0,00000001
34;2,64;1,3;2,04;2,7;2,62;2,97;0,0000000000000029;0,000000029
52;1,57;0,99;1,59;2,72;2,2;19,25;0,00000000000002;0,0000002
62;2,4;1,22;1,96;2,77;2,51;9,28;<0,00000000000000001;<0,0000000001
62;1,01;0,76;1,33;2,68;1,96;26,92;0,000000000000049;0,00000049
67;1,88;1,06;1,77;2,73;2,39;12,27;0,0000000000000024;0,000000024
67;2,55;1,53;1,66;2,68;2,41;9,83;;
70;1,83;0,91;2;2,9;2,3;20,46;0,0000000000000022;0,000000022
73;2,54;1,71;1,48;2,65;2,11;20,09;0,000000000000039;0,00000039
80;2,2;1;2,2;2,5;2,13;15;;
84;3,32;1,42;2,33;2,74;2,41;11,91;0,0000000000000025;0,000000025
122;1,87;0,99;1,89;2,85;2,63;7,72;0,000000000000000011;0,00000000011
125;2,2;1;2,2;2,5;2,13;15;;
145;1,05;0,52;2,01;2,68;2,29;14,55;0,00000000000000021;0,0000000021
155;2,4;1,25;1,94;2,76;2,15;21,58;0,000000000000035;0,00000035
159;2,2;1;2,2;2,5;2,13;15;;
159;0,56;0,47;1,2;2,69;2,01;25,53;0,0000000000000045;0,000000045
180;4,48;2,4;1,87;2,95;2,91;1,79;0,000000000000000077;0,00000000077
250;0,75;0,43;1,72;2,67;1,96;26,57;0,0000000000000024;0,000000024
253;2,56;1,78;2,17;2,69;2,66;1,14;<0,00000000000000001;<0,0000000001
256,2;3,77;2,21;1,71;2,67;2,46;7,93;0,0000000000000021;0,000000021
280,3;3,4;2,1;1,62;2,71;2,51;7,58;0,000000000000000077;0,00000000077
287,5;4;2,4;1,67;2,78;2,67;4,12;0,000000000000000077;0,00000000077
315;2,4;1,67;2,78;2,67;4,12;0,000000000000000077;0,00000000077
430;2,66;1,67;1,59;2,76;2,67;3,29;0,000000000000000059;0,00000000059
996;2,92;1,45;2,01;2,82;2,
